chr_element	average_coord
Chr	654930.5
Chr	65550.5
Chr	1039050.5
Chr	724110.5
Chr	38730.5
Chr	372510.5
Chr	1352927.5
Chr	779490.5
Chr	1383767.5
Chr	294660.5
pNRC100	21331
Chr	1346177.5
Chr	17355
Chr	531780.5
Chr	691650.5
pNRC200	164580.5
Chr	777240.5
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
Chr	131700.5
pNRC100	42570.5
Chr	1097537.5
Chr	1223597.5
pNRC200	204227
Chr	145290.5
Chr	1756727.5
pNRC200	282420.5
Chr	1726337.5
Chr	1139987.5
pNRC200	332010.5
Chr	345690.5
Chr	1674677.5
pNRC200	263130.5
Chr	90769
Chr	1547237.5
Chr	1740017.5
pNRC200	177900.5
pNRC200	121020.5
Chr	638037
Chr	1490451
Chr	48540.5
Chr	454573
unmapped	NA
Chr	1470677.5
pNRC200	325380.5
Chr	1522367.5
Chr	469199
pNRC100	134580.5
pNRC100	162905
pNRC100	161850.5
Chr	187560.5
pNRC200	182160.5
Chr	1206167.5
pNRC100	71070.5
Chr	1881917.5
Chr	52020.5
Chr	911880.5
Chr	1233977.5
pNRC200	108030.5
Chr	987330.5
Chr	1125827.5
Chr	1183847.5
NA	NA
Chr	1123187.5
pNRC200	267330.5
pNRC200	183270.5
Chr	646230.5
pNRC200	209400.5
pNRC100	14820.5
Chr	1649537.5
Chr	1225667.5
Chr	46650.5
Chr	2003687.5
Chr	262731
Chr	1719047.5
Chr	1445207.5
pNRC200	260010.5
Chr	1586177.5
Chr	90600.5
Chr	872479
pNRC100	38797
Chr	529200.5
Chr	1456367.5
Chr	1858667.5
Chr	268410.5
Chr	1760507.5
pNRC200	347550.5
pNRC200	294690.5
Chr	1411727.5
Chr	1055297.5
Chr	279090.5
pNRC200	338640.5
Chr	1383437.5
Chr	1083017.5
Chr	1216675
Chr	1767827.5
pNRC100	32760.5
Chr	139110.5
Chr	41353
Chr	1643297.5
Chr	628650.5
Chr	404610.5
pNRC200	189300.5
Chr	410760.5
Chr	917919
pNRC200	160590.5
Chr	1527227.5
Chr	1398467.5
Chr	1834517.5
Chr	850710.5
Chr	157530.5
Chr	1724751
pNRC100	81060.5
Chr	1812557.5
pNRC100	106380.5
Chr	1442057.5
Chr	278340.5
Chr	1188077.5
Chr	1416107.5
Chr	1741007.5
Chr	268350.5
Chr	1420157.5
Chr	1164317.5
Chr	549570.5
Chr	1430687.5
Chr	367080.5
Chr	1392137.5
Chr	1169815
pNRC100	63505
Chr	169920.5
Chr	1190837.5
Chr	469470.5
Chr	93000.5
Chr	1512557.5
Chr	921720.5
Chr	1384367.5
Chr	1632527.5
Chr	268553
Chr	1046997
Chr	725430.5
Chr	1258849
pNRC200	186120.5
Chr	1379027.5
Chr	1563977.5
Chr	285390.5
Chr	71457
Chr	1746707.5
Chr	141090.5
Chr	215520.5
Chr	1055777.5
pNRC100	73445
Chr	591177
Chr	411420.5
pNRC200	343770.5
Chr	462960.5
Chr	1810937.5
Chr	1670717.5
Chr	1069157.5
Chr	35370.5
pNRC100	60660.5
Chr	349635
Chr	1845527.5
pNRC100	173413
Chr	849240.5
Chr	183360.5
pNRC200	61290.5
pNRC200	210510.5
Chr	633390.5
Chr	1654157.5
Chr	839677
Chr	1360667.5
Chr	1685985
pNRC200	205350.5
Chr	1486277.5
Chr	977670.5
Chr	1455167.5
pNRC200	149983
Chr	190260.5
Chr	6150.5
Chr	1493575
pNRC200	250560.5
Chr	1012470.5
Chr	1464181
pNRC200	238710.5
Chr	558180.5
Chr	476580.5
pNRC200	232620.5
pNRC200	77430.5
Chr	1703537.5
Chr	1603637.5
Chr	1970537.5
Chr	681450.5
Chr	569640.5
Chr	1761107.5
pNRC200	204960.5
pNRC200	212610.5
Chr	1177937.5
Chr	1765967.5
Chr	1185527.5
Chr	148705
Chr	428670.5
Chr	247170.5
Chr	49170.5
Chr	1226189
Chr	1750737
Chr	1424357.5
Chr	1328571
Chr	637350.5
Chr	1161257.5
Chr	1639007.5
Chr	1086137.5
pNRC200	268320.5
Chr	1517777.5
Chr	649113
NA	NA
NA	NA
NA	NA
Chr	1728437.5
pNRC200	136770.5
Chr	267000.5
Chr	519540.5
Chr	1884785
Chr	728310.5
Chr	1578137.5
Chr	599970.5
Chr	1849001
Chr	440010.5
Chr	1933427.5
Chr	1513127.5
Chr	1822877.5
Chr	886290.5
Chr	487320.5
Chr	1966667.5
Chr	1225621
Chr	1186787.5
Chr	1990517.5
pNRC200	168720.5
Chr	1783577.5
pNRC100	159000.5
Chr	611160.5
Chr	1839737.5
Chr	1748417.5
pNRC200	257580.5
pNRC100	158940.5
Chr	1212527.5
Chr	574770.5
Chr	598590.5
Chr	963785
Chr	1596737.5
Chr	1870727
Chr	1849607.5
NA	NA
Chr	557130.5
Chr	1345157.5
Chr	1646935
Chr	692730.5
pNRC200	125490.5
Chr	1170737.5
pNRC200	257850.5
Chr	350629
Chr	958650.5
pNRC200	234000.5
Chr	1606967.5
unmapped	NA
Chr	193140.5
Chr	1422227.5
Chr	1118957.5
Chr	1922983
Chr	801810.5
Chr	1844897.5
Chr	1569827.5
unmapped	NA
Chr	365970.5
Chr	681347
Chr	1163237.5
Chr	1096827
pNRC100	40530.5
Chr	1947767.5
Chr	773940.5
Chr	1273049
Chr	921840.5
Chr	479010.5
pNRC200	213240.5
Chr	1348217.5
Chr	609210.5
Chr	823347
Chr	345930.5
pNRC200	322513
Chr	553740.5
Chr	237540.5
pNRC200	193650.5
Chr	1405727.5
pNRC200	300077
pNRC100	39240.5
Chr	695160.5
pNRC200	70200.5
Chr	1844387.5
Chr	575250.5
Chr	1263535
Chr	1664867.5
NA	NA
Chr	1914767.5
Chr	1889867.5
pNRC200	205230.5
Chr	1166567.5
pNRC200	246360.5
Chr	1463329
pNRC200	181050.5
Chr	468840.5
pNRC200	215871
Chr	1033230.5
pNRC100	87077
Chr	909150.5
Chr	93420.5
Chr	1469267.5
Chr	1596977.5
Chr	1625957.5
Chr	1404827.5
Chr	872550.5
Chr	1617017.5
pNRC200	136020.5
pNRC200	36630.5
Chr	656639
Chr	741750.5
Chr	2004677.5
Chr	1910867.5
Chr	43483
Chr	1576361
Chr	1502927.5
Chr	1402067.5
Chr	1832117.5
Chr	708240.5
Chr	526860.5
Chr	837090.5
Chr	963300.5
pNRC200	1470.5
Chr	463803
Chr	633067
Chr	1289379
Chr	199380.5
Chr	1121819
Chr	745050.5
Chr	1757717.5
Chr	1133321
Chr	1567307.5
Chr	579533
pNRC200	252000.5
Chr	1740467.5
pNRC200	305331
Chr	846630.5
Chr	309810.5
Chr	780240.5
Chr	194145
Chr	545880.5
Chr	285309
pNRC200	178667
NA	NA
Chr	1323527.5
pNRC200	272880.5
Chr	1367053
Chr	312210.5
pNRC200	192570.5
pNRC200	279900.5
Chr	1377077.5
pNRC200	130560.5
Chr	1166297.5
Chr	613530.5
Chr	394620.5
Chr	382863
Chr	371645
Chr	1248857.5
pNRC200	358380.5
pNRC200	43380.5
pNRC100	59103
Chr	1836107.5
Chr	308400.5
Chr	168360.5
Chr	1488587.5
Chr	1386437.5
Chr	724080.5
Chr	1953407.5
Chr	1901541
Chr	1244477.5
Chr	938370.5
Chr	463140.5
Chr	594900.5
Chr	357150.5
Chr	1920947.5
pNRC200	179661
Chr	1834337.5
Chr	1772297.5
pNRC200	334015
Chr	1932137.5
Chr	128970.5
Chr	1086461
pNRC100	111060.5
Chr	1633997.5
Chr	1630487.5
Chr	1888037.5
Chr	1316267.5
Chr	1182737
Chr	702060.5
Chr	1562327.5
Chr	696120.5
Chr	272850.5
Chr	1176347.5
pNRC200	273480.5
pNRC200	176490.5
Chr	999900.5
Chr	1221827.5
Chr	1543157.5
Chr	1446857
Chr	87300.5
NA	NA
NA	NA
NA	NA
Chr	101550.5
Chr	998550.5
Chr	914640.5
pNRC200	184631
pNRC200	306240.5
pNRC200	182100.5
Chr	836940.5
Chr	178830.5
pNRC200	187170.5
Chr	221550.5
Chr	1625597.5
Chr	723780.5
pNRC200	318930.5
Chr	1884887.5
Chr	1723187.5
Chr	1922087.5
Chr	782880.5
Chr	1759727.5
Chr	1792343
Chr	1301057.5
Chr	1171097.5
pNRC200	268950.5
Chr	1617347.5
Chr	893670.5
Chr	586890.5
Chr	2009867.5
pNRC200	192630.5
pNRC200	329430.5
Chr	1069421
Chr	62370.5
Chr	656760.5
Chr	1636817.5
Chr	1450967.5
Chr	633240.5
Chr	1120217.5
Chr	399720.5
Chr	933510.5
Chr	1987037.5
Chr	1702007.5
Chr	1752947.5
Chr	802200.5
Chr	48270.5
pNRC200	232170.5
Chr	887580.5
Chr	465330.5
pNRC200	307680.5
NA	NA
Chr	529920.5
Chr	560790.5
pNRC200	336720.5
Chr	1137077.5
pNRC100	133440.5
Chr	1240937.5
Chr	920520.5
unmapped	NA
Chr	120.5
Chr	1243217.5
Chr	776771
pNRC100	128040.5
pNRC200	116130.5
Chr	1826627.5
Chr	244380.5
Chr	1809167.5
Chr	1926197.5
Chr	1329707.5
Chr	1058717.5
Chr	1641887.5
Chr	723570.5
Chr	1562587
Chr	1561637.5
Chr	1064957.5
Chr	1701107.5
Chr	524850.5
Chr	809460.5
Chr	511410.5
Chr	11280.5
Chr	1147547.5
Chr	1747877.5
Chr	684390.5
Chr	420300.5
pNRC200	99540.5
Chr	9120.5
pNRC200	119700.5
Chr	1560457
Chr	965550.5
pNRC200	189240.5
Chr	816957
Chr	1041810.5
Chr	1093307.5
Chr	1935917.5
Chr	1342913
pNRC200	80310.5
pNRC200	104340.5
Chr	1487177.5
Chr	1986497.5
pNRC100	113070.5
Chr	1418627.5
pNRC100	186150.5
pNRC200	136920.5
Chr	1498277.5
Chr	309960.5
pNRC200	257310.5
Chr	1594247.5
Chr	1056017.5
Chr	706055
Chr	33660.5
pNRC100	120589
Chr	1204605
Chr	596005
Chr	1495907.5
Chr	437533
Chr	404940.5
Chr	1715805
Chr	668520.5
Chr	74250.5
Chr	1083977.5
NA	NA
Chr	695263
Chr	1832717.5
Chr	206010.5
pNRC200	360240.5
Chr	1696787.5
Chr	1882667.5
Chr	1699307.5
Chr	1306067.5
pNRC200	296370.5
Chr	1075547.5
Chr	1779527.5
Chr	1166537.5
pNRC200	334867
pNRC200	100770.5
Chr	1671497.5
pNRC200	202381
Chr	1371767.5
Chr	1625777
Chr	859080.5
Chr	1530827.5
pNRC200	48030.5
Chr	1364267.5
Chr	988770.5
pNRC200	81780.5
pNRC100	31770.5
pNRC200	180690.5
Chr	1905467.5
Chr	1849187.5
Chr	1549607.5
Chr	1057777
Chr	1452017.5
pNRC100	111600.5
Chr	226440.5
Chr	1539977.5
Chr	883950.5
pNRC200	285900.5
Chr	1352597.5
Chr	293100.5
Chr	176220.5
pNRC200	95010.5
Chr	1974227.5
Chr	1546337.5
Chr	736950.5
Chr	1402037.5
Chr	931835
Chr	402690.5
Chr	397200.5
Chr	856080.5
Chr	1883223
Chr	1086467.5
Chr	1423697.5
Chr	1756997.5
Chr	1889613
pNRC200	113100.5
Chr	1836287.5
Chr	526470.5
Chr	1299077.5
Chr	1860437.5
Chr	1648607.5
Chr	974577
NA	NA
pNRC200	201510.5
pNRC100	76110.5
Chr	1458467.5
Chr	159240.5
Chr	660615
pNRC100	99857
pNRC200	197580.5
NA	NA
Chr	1190417.5
Chr	772230.5
pNRC200	339720.5
Chr	1702847.5
Chr	374040.5
Chr	752880.5
pNRC200	117360.5
Chr	974151
Chr	1362977.5
Chr	1322477.5
Chr	514500.5
NA	NA
Chr	1128647.5
Chr	744360.5
Chr	829260.5
pNRC200	193620.5
Chr	872160.5
Chr	424950.5
Chr	1553297.5
Chr	434835
pNRC200	154410.5
Chr	702180.5
pNRC200	84690.5
Chr	867083
pNRC200	256830.5
unmapped	NA
pNRC100	158790.5
pNRC100	68460.5
Chr	1428677.5
pNRC200	128430.5
Chr	1457837.5
Chr	1459921
pNRC100	43650.5
Chr	790261
pNRC100	185970.5
pNRC200	85320.5
Chr	1011000.5
Chr	335370.5
Chr	1223417.5
Chr	281220.5
Chr	1802117.5
pNRC200	32730.5
Chr	1906217.5
Chr	1236839
pNRC100	23730.5
Chr	803370.5
Chr	1054367.5
Chr	929520.5
Chr	1070957.5
Chr	1543427.5
Chr	1381847.5
Chr	876030.5
Chr	1953137.5
Chr	1196795
Chr	413850.5
Chr	1788367
Chr	1281707.5
Chr	1823897.5
Chr	1680137.5
Chr	628097
Chr	1535267.5
pNRC200	130387
pNRC100	135210.5
unmapped	NA
Chr	1397299
Chr	619650.5
Chr	1896017.5
Chr	1199117.5
Chr	201510.5
Chr	1510877.5
Chr	1012500.5
Chr	661380.5
Chr	999285
Chr	1922927.5
Chr	1476109
pNRC200	267510.5
Chr	173555
Chr	1059765
Chr	102300.5
unmapped	NA
Chr	378177
Chr	843030.5
Chr	107940.5
Chr	146970.5
Chr	1263197.5
Chr	1346057.5
Chr	1099547.5
Chr	928650.5
Chr	340380.5
pNRC200	164850.5
pNRC200	31140.5
Chr	249660.5
pNRC200	158520.5
Chr	451320.5
Chr	406530.5
Chr	1182167.5
pNRC200	25920.5
pNRC200	78810.5
Chr	263580.5
Chr	1833917.5
Chr	1259597.5
Chr	871650.5
Chr	1963517.5
Chr	1209947.5
Chr	185625
Chr	516900.5
Chr	1133567.5
pNRC200	353730.5
Chr	1893317.5
Chr	895260.5
Chr	419400.5
NA	NA
Chr	1401467.5
pNRC100	140185
Chr	76560.5
Chr	328170.5
Chr	1169389
pNRC200	314880.5
Chr	1983887.5
NA	NA
pNRC100	104190.5
Chr	1025129
Chr	1140563
Chr	196440.5
Chr	1045577
Chr	1068737.5
pNRC200	230070.5
Chr	1511237.5
Chr	59490.5
Chr	1874927.5
Chr	1380227.5
Chr	351360.5
pNRC100	145920.5
Chr	1454383
Chr	1199027.5
Chr	213690.5
Chr	1135577.5
Chr	1577807.5
Chr	1865537.5
Chr	323580.5
Chr	1500675
Chr	924480.5
pNRC200	76380.5
Chr	1106927.5
Chr	641130.5
Chr	505530.5
Chr	1434827.5
Chr	69270.5
pNRC200	258840.5
pNRC200	32430.5
Chr	1190121
Chr	1196447.5
Chr	1394477.5
Chr	1374467.5
Chr	1612457.5
Chr	1637687.5
Chr	608010.5
Chr	6360.5
Chr	381000.5
Chr	267330.5
Chr	165870.5
pNRC100	185730.5
pNRC200	119280.5
pNRC200	242851
Chr	1532417.5
Chr	1532987.5
Chr	230490.5
Chr	737670.5
Chr	591300.5
Chr	1872767.5
pNRC200	247200.5
Chr	1279581
Chr	954810.5
Chr	753990.5
Chr	1469927.5
Chr	1456607.5
Chr	146340.5
Chr	1150907.5
Chr	406260.5
Chr	189960.5
pNRC200	103410.5
Chr	1105367.5
Chr	219480.5
Chr	405150.5
Chr	1179257.5
pNRC200	315450.5
Chr	177240.5
Chr	1981487.5
Chr	1131107.5
Chr	501690.5
Chr	143130.5
Chr	1234457.5
Chr	13740.5
pNRC200	117720.5
pNRC200	246540.5
pNRC200	99000.5
Chr	1941347.5
Chr	1766027.5
Chr	1261877.5
Chr	523200.5
Chr	352020.5
pNRC200	316080.5
Chr	1860527.5
Chr	1921817.5
Chr	1972427.5
Chr	1509977.5
Chr	1098857.5
Chr	258329
pNRC200	177810.5
Chr	932250.5
NA	NA
pNRC200	84780.5
Chr	938010.5
Chr	506670.5
Chr	586500.5
Chr	1401257.5
Chr	22325
Chr	1344827.5
Chr	797880.5
Chr	1907807.5
NA	NA
NA	NA
Chr	752730.5
Chr	66840.5
pNRC200	167430.5
Chr	296100.5
Chr	298170.5
Chr	756420.5
pNRC200	22980.5
Chr	555300.5
Chr	1055537.5
Chr	359717
Chr	317010.5
Chr	607020.5
Chr	1790987.5
Chr	403169
Chr	928530.5
Chr	161490.5
Chr	656490.5
Chr	1206257.5
Chr	105120.5
pNRC100	37920.5
Chr	1061597.5
Chr	1699475
Chr	1748891
Chr	24029
Chr	927240.5
Chr	781173
Chr	931590.5
Chr	767370.5
Chr	969180.5
Chr	1601057.5
Chr	658380.5
Chr	957720.5
pNRC200	59610.5
Chr	486930.5
Chr	723960.5
Chr	726219
pNRC200	364080.5
Chr	610680.5
pNRC100	76170.5
pNRC200	340590.5
Chr	18810.5
Chr	117990.5
Chr	436020.5
Chr	619470.5
Chr	1207967.5
Chr	1004580.5
Chr	1555277.5
Chr	221835
pNRC200	333210.5
Chr	54270.5
Chr	1173647.5
unmapped	NA
pNRC100	135990.5
Chr	1687307.5
pNRC200	22350.5
Chr	441120.5
Chr	993780.5
unmapped	NA
Chr	1423547.5
Chr	913091
pNRC100	163473
Chr	851190.5
Chr	1630097.5
pNRC200	136493
Chr	480360.5
Chr	21473
Chr	1741517.5
Chr	1530077.5
pNRC200	98190.5
Chr	1788017.5
pNRC200	166770.5
NA	NA
Chr	1315097.5
pNRC200	229530.5
Chr	1181177.5
Chr	622980.5
Chr	248550.5
Chr	247530.5
Chr	594869
pNRC200	297090.5
Chr	1558667.5
Chr	1774309
Chr	956940.5
Chr	1027117
Chr	1984895
Chr	1298627.5
Chr	337560.5
Chr	1450007.5
pNRC100	161730.5
Chr	48750.5
Chr	33685
Chr	427170.5
Chr	27990.5
Chr	1332677.5
Chr	366450.5
Chr	1793987.5
Chr	630630.5
Chr	1713827.5
pNRC200	101760.5
Chr	1864847.5
Chr	633690.5
Chr	1075097.5
Chr	359700.5
Chr	1568693
Chr	337849
Chr	1750879
Chr	1652807.5
Chr	696210.5
pNRC200	45150.5
Chr	798780.5
Chr	830163
Chr	1224437.5
Chr	1220897.5
Chr	1372487.5
Chr	313410.5
Chr	1351217.5
pNRC200	251655
Chr	932880.5
Chr	1480511
pNRC200	283590.5
Chr	1861187.5
Chr	275220.5
Chr	813630.5
Chr	1840847.5
Chr	748710.5
pNRC200	253170.5
Chr	1361207.5
Chr	904980.5
Chr	511770.5
Chr	1587587.5
Chr	23760.5
Chr	1698467.5
Chr	583350.5
Chr	1756037.5
Chr	1255727.5
pNRC100	54360.5
Chr	1519187.5
Chr	283200.5
Chr	861720.5
Chr	1566977.5
Chr	73860.5
Chr	1718929
Chr	75570.5
Chr	1217385
pNRC100	9420.5
Chr	1044450.5
Chr	1498787.5
Chr	1261277.5
Chr	829860.5
Chr	644427
Chr	1647857.5
Chr	957395
Chr	1106341
Chr	248700.5
Chr	1700117.5
Chr	1190547
Chr	1788793
pNRC200	165390.5
Chr	797460.5
Chr	1370745
Chr	1869527.5
Chr	589410.5
Chr	533809
Chr	1991597.5
pNRC200	35640.5
pNRC200	252510.5
Chr	8580.5
Chr	771450.5
Chr	935340.5
Chr	585150.5
Chr	1622957.5
Chr	834180.5
pNRC100	138055
Chr	979260.5
Chr	867480.5
pNRC200	112860.5
Chr	916357
Chr	1755827.5
pNRC100	106531
Chr	1252397.5
Chr	626130.5
pNRC200	360090.5
Chr	1188797.5
pNRC200	276630.5
Chr	607710.5
Chr	197010.5
pNRC200	273870.5
Chr	173160.5
pNRC200	73680.5
pNRC200	38760.5
Chr	430140.5
Chr	1647437.5
Chr	1445477.5
Chr	612750.5
pNRC200	44550.5
Chr	310770.5
Chr	883410.5
Chr	1693877.5
Chr	978300.5
Chr	757830.5
Chr	1646207.5
Chr	1663367.5
Chr	1226237.5
pNRC100	180450.5
Chr	223140.5
Chr	895380.5
Chr	833610.5
Chr	435971
Chr	332070.5
Chr	1020900.5
Chr	681690.5
Chr	951540.5
Chr	326730.5
Chr	1542497.5
Chr	1069457.5
Chr	592260.5
pNRC200	154811
pNRC200	324075
unmapped	NA
pNRC200	189150.5
pNRC200	360630.5
Chr	99840.5
Chr	1781657.5
Chr	1600501
Chr	1153967.5
Chr	1315667.5
Chr	1043160.5
Chr	357420.5
Chr	207493
Chr	239820.5
Chr	1207517.5
Chr	757140.5
Chr	196860.5
Chr	583890.5
pNRC100	110100.5
pNRC100	149580.5
Chr	47743
Chr	1395287.5
Chr	1381457.5
Chr	166530.5
Chr	517890.5
Chr	1204607.5
Chr	832260.5
Chr	393810.5
Chr	576267
Chr	1467677.5
Chr	1670267.5
Chr	342961
Chr	655440.5
pNRC200	286590.5
Chr	1458017.5
Chr	1913597.5
Chr	1971407.5
pNRC100	91621
Chr	1724627.5
pNRC200	346795
Chr	1627697.5
pNRC200	284130.5
Chr	328230.5
Chr	1524531
Chr	378840.5
Chr	461070.5
Chr	1575647.5
Chr	413640.5
Chr	1540607.5
Chr	1081633
Chr	927120.5
Chr	375630.5
Chr	602460.5
Chr	672630.5
Chr	18207
pNRC200	310110.5
Chr	1828157.5
Chr	1717037.5
Chr	1567937.5
Chr	1522337.5
Chr	1421537.5
Chr	1296677.5
Chr	1430057.5
pNRC200	66030.5
Chr	649110.5
Chr	156570.5
Chr	1436057.5
Chr	1292327.5
Chr	155850.5
Chr	646170.5
Chr	739709
Chr	92160.5
NA	NA
Chr	789409
pNRC200	330930.5
Chr	599070.5
Chr	1732877.5
Chr	965220.5
Chr	820170.5
Chr	1633397.5
Chr	1484597.5
Chr	754920.5
Chr	1486637.5
Chr	1459211
Chr	1857379
Chr	1505657.5
Chr	916710.5
Chr	1977677.5
Chr	1044015
pNRC100	47130.5
Chr	250235
Chr	611767
pNRC200	274230.5
Chr	661350.5
pNRC100	156120.5
Chr	1461767.5
Chr	1102877.5
Chr	15083
Chr	806310.5
unmapped	NA
Chr	2006417.5
Chr	271200.5
pNRC100	132600.5
pNRC100	112260.5
Chr	423330.5
Chr	1670297.5
Chr	1548137.5
pNRC200	192270.5
Chr	1152947.5
Chr	1678877.5
pNRC100	153249
